Flight No,Departure Time,Destination,Category,Tier1%,Tier2%,Tier3%
BA4145,15:32:00,DFW,LONG,5,15,30
BA8876,09:01:00,DXB,LONG,5,15,30
BA2713,12:46:00,MAD,SHORT,1,5,20
BA7443,20:27:00,FRA,SHORT,1,5,20
BA4315,06:54:00,JFK,LONG,5,15,30
BA5836,09:17:00,VIE,SHORT,1,5,20
BA3075,10:31:00,FRA,SHORT,1,5,20
BA9108,19:36:00,FRA,SHORT,1,5,20
BA7241,16:21:00,HND,LONG,5,15,30
BA9462,20:48:00,DXB,LONG,5,15,30
BA1691,07:35:00,VIE,SHORT,1,5,20
BA8433,07:29:00,IST,SHORT,1,5,20
BA9766,16:10:00,JFK,LONG,5,15,30
BA7771,15:02:00,CDG,SHORT,1,5,20
BA6823,10:34:00,MUC,SHORT,1,5,20
BA6904,11:05:00,MUC,SHORT,1,5,20
BA4690,09:57:00,DXB,LONG,5,15,30
BA7850,12:57:00,FRA,SHORT,1,5,20
BA6815,18:29:00,VIE,SHORT,1,5,20
BA5890,21:08:00,BCN,SHORT,1,5,20
BA8945,10:40:00,MUC,SHORT,1,5,20
BA6658,17:28:00,BCN,SHORT,1,5,20
BA4811,09:18:00,BCN,SHORT,1,5,20
BA4873,18:54:00,LAX,LONG,5,15,30
BA2253,17:58:00,BCN,SHORT,1,5,20
BA7949,22:38:00,MAD,SHORT,1,5,20
BA9570,21:20:00,IST,SHORT,1,5,20
BA5292,18:00:00,DFW,LONG,5,15,30
BA5495,07:42:00,DXB,LONG,5,15,30
BA6909,22:23:00,ZRH,SHORT,1,5,20
BA7174,17:56:00,DFW,LONG,5,15,30
BA4202,13:48:00,FRA,SHORT,1,5,20
BA9458,11:25:00,VIE,SHORT,1,5,20
BA4610,19:33:00,JFK,LONG,5,15,30
BA3243,06:42:00,CDG,SHORT,1,5,20
BA1482,17:06:00,ZRH,SHORT,1,5,20
BA4252,16:06:00,CDG,SHORT,1,5,20
BA6510,08:51:00,LAX,LONG,5,15,30
BA5563,10:29:00,CDG,SHORT,1,5,20
BA6685,21:14:00,ORD,LONG,5,15,30
BA5888,22:53:00,IST,SHORT,1,5,20
BA2809,16:35:00,MAD,SHORT,1,5,20
BA4883,12:39:00,JFK,LONG,5,15,30
BA1726,14:18:00,HND,LONG,5,15,30
BA8392,21:16:00,JFK,LONG,5,15,30
BA4789,15:17:00,IST,SHORT,1,5,20
BA5963,21:41:00,ORD,LONG,5,15,30
BA7067,15:29:00,MAD,SHORT,1,5,20
BA6330,17:47:00,ZRH,SHORT,1,5,20
BA4511,07:42:00,FRA,SHORT,1,5,20
BA2239,22:56:00,ZRH,SHORT,1,5,20
BA6321,07:15:00,IST,SHORT,1,5,20
BA9085,11:39:00,DFW,LONG,5,15,30
BA6632,09:14:00,DXB,LONG,5,15,30
BA9717,22:42:00,BCN,SHORT,1,5,20
BA7299,15:20:00,AMS,SHORT,1,5,20
BA4215,06:29:00,JFK,LONG,5,15,30
BA9096,10:10:00,HND,LONG,5,15,30
BA2032,12:03:00,DFW,LONG,5,15,30
BA8435,10:00:00,ORD,LONG,5,15,30
BA8848,15:40:00,MUC,SHORT,1,5,20
BA1287,21:22:00,FRA,SHORT,1,5,20
BA3266,15:07:00,MUC,SHORT,1,5,20
BA2841,08:41:00,MUC,SHORT,1,5,20
BA1810,16:15:00,VIE,SHORT,1,5,20
BA8579,10:37:00,CDG,SHORT,1,5,20
BA2058,10:04:00,MAD,SHORT,1,5,20
BA1884,10:44:00,MAD,SHORT,1,5,20
BA5155,19:58:00,BCN,SHORT,1,5,20
BA9056,16:42:00,BCN,SHORT,1,5,20
BA5462,06:57:00,MAD,SHORT,1,5,20
BA8541,20:49:00,MAD,SHORT,1,5,20
BA9380,21:49:00,MUC,SHORT,1,5,20
BA3050,21:13:00,ZRH,SHORT,1,5,20
BA8543,19:14:00,MUC,SHORT,1,5,20
BA6655,11:17:00,ZRH,SHORT,1,5,20
BA9006,16:54:00,CDG,SHORT,1,5,20
BA1313,06:09:00,HND,LONG,5,15,30
BA2981,13:50:00,HND,LONG,5,15,30
BA8527,13:34:00,ZRH,SHORT,1,5,20
BA8789,18:27:00,ZRH,SHORT,1,5,20
BA5551,19:21:00,CDG,SHORT,1,5,20
BA3499,14:16:00,DXB,LONG,5,15,30
BA7794,17:39:00,AMS,SHORT,1,5,20
BA8783,13:07:00,CDG,SHORT,1,5,20
BA8080,06:34:00,BCN,SHORT,1,5,20
BA5067,18:29:00,HND,LONG,5,15,30
BA2885,15:32:00,ORD,LONG,5,15,30
BA6472,18:00:00,BCN,SHORT,1,5,20
BA6938,12:02:00,FRA,SHORT,1,5,20
BA7288,20:34:00,DXB,LONG,5,15,30
BA4420,16:36:00,CDG,SHORT,1,5,20
BA5155,17:00:00,VIE,SHORT,1,5,20
BA7946,17:39:00,ZRH,SHORT,1,5,20
BA5679,09:57:00,DFW,LONG,5,15,30
BA7366,09:28:00,JFK,LONG,5,15,30
BA3045,06:28:00,MAD,SHORT,1,5,20
BA9717,21:41:00,MUC,SHORT,1,5,20
BA9698,13:07:00,DXB,LONG,5,15,30
BA4330,08:37:00,MAD,SHORT,1,5,20
BA4461,22:51:00,ZRH,SHORT,1,5,20
BA8796,20:38:00,HND,LONG,5,15,30
BA2418,18:44:00,DFW,LONG,5,15,30
BA1276,14:10:00,HND,LONG,5,15,30
BA5971,17:12:00,BCN,SHORT,1,5,20
BA2053,13:19:00,MAD,SHORT,1,5,20
BA9826,12:22:00,FRA,SHORT,1,5,20
BA5380,22:55:00,DXB,LONG,5,15,30
BA6899,09:11:00,FRA,SHORT,1,5,20
BA4873,19:29:00,LAX,LONG,5,15,30
BA9056,11:55:00,CDG,SHORT,1,5,20
BA2755,16:43:00,MUC,SHORT,1,5,20
BA2118,06:37:00,MUC,SHORT,1,5,20
BA4291,20:09:00,IST,SHORT,1,5,20
BA7346,22:50:00,JFK,LONG,5,15,30
BA2488,19:40:00,FRA,SHORT,1,5,20
BA1218,13:33:00,ZRH,SHORT,1,5,20
BA9174,14:47:00,DFW,LONG,5,15,30
BA6738,22:30:00,MUC,SHORT,1,5,20
BA8025,18:35:00,BCN,SHORT,1,5,20
BA6776,21:01:00,ZRH,SHORT,1,5,20
BA5867,17:45:00,FRA,SHORT,1,5,20
BA2735,17:09:00,AMS,SHORT,1,5,20
BA4079,15:57:00,MAD,SHORT,1,5,20
BA4468,18:01:00,FRA,SHORT,1,5,20
BA1470,09:45:00,LAX,LONG,5,15,30
BA3799,12:02:00,DXB,LONG,5,15,30
BA6626,13:54:00,LAX,LONG,5,15,30
BA6873,22:36:00,ZRH,SHORT,1,5,20
BA1740,20:17:00,MAD,SHORT,1,5,20
BA6234,12:47:00,FRA,SHORT,1,5,20
BA7722,15:31:00,LAX,LONG,5,15,30
BA5699,08:11:00,VIE,SHORT,1,5,20
BA8595,19:25:00,HND,LONG,5,15,30
BA4973,07:46:00,BCN,SHORT,1,5,20
BA7066,09:58:00,HND,LONG,5,15,30
BA3453,19:42:00,MUC,SHORT,1,5,20
BA7654,21:49:00,HND,LONG,5,15,30
BA4912,22:56:00,DXB,LONG,5,15,30
BA6166,19:25:00,DFW,LONG,5,15,30
BA2959,17:12:00,CDG,SHORT,1,5,20
BA9381,11:45:00,VIE,SHORT,1,5,20
BA1237,07:32:00,HND,LONG,5,15,30
BA5129,12:23:00,AMS,SHORT,1,5,20
BA9524,21:25:00,ZRH,SHORT,1,5,20
BA6550,17:01:00,LAX,LONG,5,15,30
BA8235,22:21:00,JFK,LONG,5,15,30
BA3563,20:58:00,ORD,LONG,5,15,30
BA5682,19:33:00,JFK,LONG,5,15,30
BA1300,11:53:00,LAX,LONG,5,15,30
BA4670,20:00:00,FRA,SHORT,1,5,20
BA3909,09:49:00,AMS,SHORT,1,5,20
BA8541,20:49:00,AMS,SHORT,1,5,20
BA4277,15:13:00,ORD,LONG,5,15,30
BA3425,14:59:00,ORD,LONG,5,15,30
BA4932,20:08:00,IST,SHORT,1,5,20
BA8319,17:02:00,DFW,LONG,5,15,30
BA3467,17:20:00,IST,SHORT,1,5,20
BA7843,11:22:00,LAX,LONG,5,15,30
BA6141,13:41:00,AMS,SHORT,1,5,20
BA6066,15:52:00,VIE,SHORT,1,5,20
BA5753,09:27:00,BCN,SHORT,1,5,20
BA2143,15:18:00,ZRH,SHORT,1,5,20
BA3513,21:26:00,ZRH,SHORT,1,5,20
BA5645,19:05:00,HND,LONG,5,15,30
BA9877,15:55:00,ORD,LONG,5,15,30
BA1980,08:39:00,ORD,LONG,5,15,30
BA7024,22:11:00,DXB,LONG,5,15,30
BA7062,12:14:00,CDG,SHORT,1,5,20
BA2911,17:00:00,ORD,LONG,5,15,30
BA3837,20:18:00,ZRH,SHORT,1,5,20
BA9491,22:17:00,LAX,LONG,5,15,30
BA8633,20:53:00,CDG,SHORT,1,5,20
BA5538,21:58:00,DXB,LONG,5,15,30
BA8804,21:18:00,LAX,LONG,5,15,30
BA1657,06:27:00,JFK,LONG,5,15,30
BA6639,09:17:00,ZRH,SHORT,1,5,20
BA2264,19:57:00,ORD,LONG,5,15,30
BA7795,15:33:00,IST,SHORT,1,5,20
BA5185,10:43:00,CDG,SHORT,1,5,20
BA8421,09:22:00,LAX,LONG,5,15,30
BA8794,11:44:00,BCN,SHORT,1,5,20
BA1603,08:00:00,MAD,SHORT,1,5,20
BA3839,21:15:00,AMS,SHORT,1,5,20
BA6341,11:46:00,HND,LONG,5,15,30
BA7501,12:52:00,MUC,SHORT,1,5,20
BA9335,15:31:00,BCN,SHORT,1,5,20
BA1869,10:32:00,JFK,LONG,5,15,30
BA3469,17:23:00,MAD,SHORT,1,5,20
BA5975,21:50:00,ORD,LONG,5,15,30
BA8483,06:36:00,CDG,SHORT,1,5,20
BA3341,10:20:00,IST,SHORT,1,5,20
BA5917,22:34:00,VIE,SHORT,1,5,20
BA9669,12:05:00,FRA,SHORT,1,5,20
BA2328,10:19:00,BCN,SHORT,1,5,20
BA1697,06:58:00,LAX,LONG,5,15,30
BA1172,22:02:00,MAD,SHORT,1,5,20
BA6598,13:49:00,DFW,LONG,5,15,30
BA2386,10:28:00,VIE,SHORT,1,5,20
BA5164,21:41:00,MUC,SHORT,1,5,20
BA3143,13:47:00,MAD,SHORT,1,5,20
BA1659,08:27:00,ZRH,SHORT,1,5,20
BA6728,11:09:00,VIE,SHORT,1,5,20
BA6873,08:23:00,IST,SHORT,1,5,20
BA4486,13:35:00,HND,LONG,5,15,30
BA5257,08:21:00,DXB,LONG,5,15,30
BA3469,10:20:00,MUC,SHORT,1,5,20
BA9146,09:39:00,HND,LONG,5,15,30
BA2609,20:49:00,AMS,SHORT,1,5,20
BA3442,22:43:00,MUC,SHORT,1,5,20
BA6263,11:41:00,HND,LONG,5,15,30
BA3607,14:25:00,MAD,SHORT,1,5,20
BA6678,09:22:00,CDG,SHORT,1,5,20
BA9236,14:56:00,BCN,SHORT,1,5,20
BA5874,22:40:00,BCN,SHORT,1,5,20
BA6590,19:31:00,MUC,SHORT,1,5,20
BA2717,17:24:00,BCN,SHORT,1,5,20
BA3368,18:24:00,DXB,LONG,5,15,30
BA6871,17:32:00,ORD,LONG,5,15,30
BA8520,22:09:00,VIE,SHORT,1,5,20
BA1325,06:44:00,DFW,LONG,5,15,30
BA9006,18:48:00,CDG,SHORT,1,5,20
BA1653,11:01:00,MUC,SHORT,1,5,20
BA8581,11:33:00,MAD,SHORT,1,5,20
BA1486,06:49:00,AMS,SHORT,1,5,20
BA2871,12:58:00,HND,LONG,5,15,30
BA1621,19:02:00,AMS,SHORT,1,5,20
BA4409,20:42:00,JFK,LONG,5,15,30
BA1835,18:16:00,BCN,SHORT,1,5,20
BA3705,14:35:00,IST,SHORT,1,5,20
BA8342,18:36:00,ORD,LONG,5,15,30
BA6434,21:12:00,FRA,SHORT,1,5,20
BA9060,15:19:00,MUC,SHORT,1,5,20
BA3791,15:55:00,BCN,SHORT,1,5,20
BA8089,06:55:00,BCN,SHORT,1,5,20
BA5020,21:03:00,AMS,SHORT,1,5,20
BA9770,22:00:00,LAX,LONG,5,15,30
BA9159,15:49:00,JFK,LONG,5,15,30
BA6118,16:15:00,DXB,LONG,5,15,30
BA2858,22:30:00,LAX,LONG,5,15,30
BA3724,06:33:00,AMS,SHORT,1,5,20
BA4071,19:53:00,VIE,SHORT,1,5,20
BA3276,12:17:00,DXB,LONG,5,15,30
BA6344,09:57:00,CDG,SHORT,1,5,20
BA8062,21:09:00,ZRH,SHORT,1,5,20
BA2254,17:07:00,LAX,LONG,5,15,30
BA1007,13:01:00,IST,SHORT,1,5,20
BA6487,14:57:00,DFW,LONG,5,15,30
BA4301,21:24:00,DFW,LONG,5,15,30
BA2128,17:18:00,DXB,LONG,5,15,30
BA3287,21:08:00,VIE,SHORT,1,5,20
BA2751,16:59:00,BCN,SHORT,1,5,20
BA5531,07:48:00,BCN,SHORT,1,5,20
BA2886,10:27:00,MUC,SHORT,1,5,20
BA4149,10:30:00,MUC,SHORT,1,5,20
BA3745,20:51:00,AMS,SHORT,1,5,20
BA7073,11:37:00,ORD,LONG,5,15,30
BA2722,08:28:00,MAD,SHORT,1,5,20
BA9760,12:43:00,IST,SHORT,1,5,20
BA7048,16:27:00,DXB,LONG,5,15,30
BA3599,08:32:00,LAX,LONG,5,15,30
BA8822,18:31:00,BCN,SHORT,1,5,20
BA7923,08:14:00,DXB,LONG,5,15,30
BA8568,17:03:00,BCN,SHORT,1,5,20
BA2300,12:31:00,AMS,SHORT,1,5,20
BA5354,13:26:00,BCN,SHORT,1,5,20
BA8426,20:39:00,BCN,SHORT,1,5,20
BA4189,17:13:00,IST,SHORT,1,5,20
BA8023,19:51:00,BCN,SHORT,1,5,20
BA2417,20:15:00,VIE,SHORT,1,5,20
BA9338,10:29:00,FRA,SHORT,1,5,20
BA8660,07:25:00,BCN,SHORT,1,5,20
BA8234,22:11:00,MAD,SHORT,1,5,20
BA5528,08:57:00,MAD,SHORT,1,5,20
BA9644,22:28:00,AMS,SHORT,1,5,20
BA1657,20:35:00,BCN,SHORT,1,5,20
BA2222,10:20:00,DXB,LONG,5,15,30
BA4488,16:24:00,MUC,SHORT,1,5,20
BA9391,16:18:00,BCN,SHORT,1,5,20
BA8606,10:44:00,LAX,LONG,5,15,30
BA1079,13:22:00,DFW,LONG,5,15,30
BA4198,20:05:00,VIE,SHORT,1,5,20
BA2166,10:44:00,VIE,SHORT,1,5,20
BA5079,15:52:00,DFW,LONG,5,15,30
BA3216,06:24:00,LAX,LONG,5,15,30
BA2953,21:48:00,CDG,SHORT,1,5,20
BA5104,06:49:00,BCN,SHORT,1,5,20
BA3967,17:41:00,MUC,SHORT,1,5,20
BA4791,12:04:00,HND,LONG,5,15,30
BA9768,06:35:00,VIE,SHORT,1,5,20
BA5749,20:53:00,MAD,SHORT,1,5,20
BA2326,13:39:00,VIE,SHORT,1,5,20
BA7071,21:11:00,IST,SHORT,1,5,20
BA9049,06:25:00,VIE,SHORT,1,5,20
BA1322,10:56:00,DXB,LONG,5,15,30
BA9589,16:25:00,HND,LONG,5,15,30
BA6328,13:54:00,MUC,SHORT,1,5,20
BA2830,10:57:00,ZRH,SHORT,1,5,20
BA4518,09:09:00,VIE,SHORT,1,5,20
BA3268,22:48:00,FRA,SHORT,1,5,20
BA6854,15:40:00,MAD,SHORT,1,5,20
BA7298,20:16:00,BCN,SHORT,1,5,20
BA8585,20:28:00,DFW,LONG,5,15,30
BA2281,21:35:00,LAX,LONG,5,15,30
BA7256,11:25:00,FRA,SHORT,1,5,20
BA1114,07:52:00,LAX,LONG,5,15,30
BA4963,17:19:00,BCN,SHORT,1,5,20
BA8175,22:03:00,MAD,SHORT,1,5,20
BA8356,09:35:00,CDG,SHORT,1,5,20
BA7102,10:21:00,HND,LONG,5,15,30
BA5487,15:26:00,DXB,LONG,5,15,30
BA8769,22:16:00,IST,SHORT,1,5,20
BA8058,13:06:00,ZRH,SHORT,1,5,20
BA8287,07:23:00,JFK,LONG,5,15,30
BA6476,16:15:00,MAD,SHORT,1,5,20
BA6212,13:01:00,BCN,SHORT,1,5,20
BA5439,15:38:00,IST,SHORT,1,5,20
BA4427,20:11:00,DXB,LONG,5,15,30
BA2996,19:49:00,JFK,LONG,5,15,30
BA6290,17:53:00,LAX,LONG,5,15,30
BA2506,17:19:00,LAX,LONG,5,15,30
BA3332,12:28:00,CDG,SHORT,1,5,20
BA5581,19:36:00,ORD,LONG,5,15,30
BA3827,07:26:00,MUC,SHORT,1,5,20
BA6274,10:47:00,FRA,SHORT,1,5,20
BA7485,10:06:00,BCN,SHORT,1,5,20
BA6373,10:12:00,VIE,SHORT,1,5,20
BA2760,22:38:00,LAX,LONG,5,15,30
BA6893,07:04:00,BCN,SHORT,1,5,20
BA6119,07:13:00,ZRH,SHORT,1,5,20
BA4277,21:54:00,LAX,LONG,5,15,30
BA4835,18:49:00,DFW,LONG,5,15,30
BA4316,19:55:00,DFW,LONG,5,15,30
BA9539,11:05:00,DXB,LONG,5,15,30
BA9882,08:31:00,ZRH,SHORT,1,5,20
BA4522,10:49:00,BCN,SHORT,1,5,20
BA2129,09:44:00,DFW,LONG,5,15,30
BA3946,08:51:00,JFK,LONG,5,15,30
BA5604,11:47:00,CDG,SHORT,1,5,20
BA3603,10:32:00,ZRH,SHORT,1,5,20
BA2124,19:59:00,FRA,SHORT,1,5,20
BA2971,14:01:00,LAX,LONG,5,15,30
BA9866,06:02:00,MAD,SHORT,1,5,20
BA1710,06:31:00,DXB,LONG,5,15,30
BA2346,21:26:00,FRA,SHORT,1,5,20
BA1476,06:28:00,MUC,SHORT,1,5,20
BA4028,19:38:00,ZRH,SHORT,1,5,20
BA5051,22:52:00,LAX,LONG,5,15,30
BA6269,17:19:00,VIE,SHORT,1,5,20
BA7118,18:51:00,JFK,LONG,5,15,30
BA7802,06:27:00,DFW,LONG,5,15,30
BA1924,07:25:00,HND,LONG,5,15,30
BA3784,06:11:00,JFK,LONG,5,15,30
BA3106,08:18:00,HND,LONG,5,15,30
BA7276,20:08:00,DFW,LONG,5,15,30
BA9487,20:35:00,MUC,SHORT,1,5,20
BA3066,17:24:00,ORD,LONG,5,15,30
BA2495,06:31:00,HND,LONG,5,15,30
BA1369,15:52:00,BCN,SHORT,1,5,20
BA3822,12:07:00,ORD,LONG,5,15,30
BA3092,06:58:00,HND,LONG,5,15,30
BA2972,12:00:00,AMS,SHORT,1,5,20
BA5233,10:24:00,CDG,SHORT,1,5,20
BA1834,18:50:00,MUC,SHORT,1,5,20
BA5255,08:26:00,CDG,SHORT,1,5,20
BA8152,15:21:00,JFK,LONG,5,15,30
BA4190,12:26:00,AMS,SHORT,1,5,20
BA7187,06:41:00,VIE,SHORT,1,5,20
BA6952,07:34:00,DFW,LONG,5,15,30
BA7761,18:17:00,IST,SHORT,1,5,20
BA9418,11:38:00,ORD,LONG,5,15,30
BA9446,08:32:00,CDG,SHORT,1,5,20
BA2568,08:46:00,FRA,SHORT,1,5,20
BA9337,19:58:00,HND,LONG,5,15,30
BA3850,19:45:00,AMS,SHORT,1,5,20
BA5730,09:35:00,ORD,LONG,5,15,30
BA1195,15:25:00,DFW,LONG,5,15,30
BA7436,14:09:00,MUC,SHORT,1,5,20
BA4486,08:10:00,ORD,LONG,5,15,30
BA1474,13:24:00,JFK,LONG,5,15,30
BA1903,20:24:00,JFK,LONG,5,15,30
BA8101,08:42:00,ORD,LONG,5,15,30
BA9989,15:30:00,FRA,SHORT,1,5,20
BA9546,16:51:00,FRA,SHORT,1,5,20
BA7951,09:25:00,BCN,SHORT,1,5,20
BA6768,09:31:00,IST,SHORT,1,5,20
BA8090,17:18:00,DXB,LONG,5,15,30
BA1968,13:59:00,FRA,SHORT,1,5,20
BA3072,18:05:00,FRA,SHORT,1,5,20
BA9841,20:30:00,VIE,SHORT,1,5,20
BA5309,12:40:00,MAD,SHORT,1,5,20
BA5811,09:51:00,ZRH,SHORT,1,5,20
BA3090,15:28:00,JFK,LONG,5,15,30
BA8984,08:10:00,DXB,LONG,5,15,30
BA4396,13:17:00,MUC,SHORT,1,5,20
BA4695,07:50:00,BCN,SHORT,1,5,20
BA6866,21:45:00,DXB,LONG,5,15,30
BA7535,12:36:00,MUC,SHORT,1,5,20
BA1262,21:46:00,DFW,LONG,5,15,30
BA2236,11:03:00,VIE,SHORT,1,5,20
BA4832,06:10:00,AMS,SHORT,1,5,20
BA9357,20:46:00,ZRH,SHORT,1,5,20
BA6818,21:16:00,MAD,SHORT,1,5,20
BA7716,07:23:00,VIE,SHORT,1,5,20
BA6738,18:16:00,FRA,SHORT,1,5,20
BA7738,12:55:00,VIE,SHORT,1,5,20
BA1822,09:27:00,ORD,LONG,5,15,30
BA2589,06:28:00,MUC,SHORT,1,5,20
BA6389,08:44:00,DXB,LONG,5,15,30
BA2145,07:35:00,LAX,LONG,5,15,30
BA5295,07:31:00,AMS,SHORT,1,5,20
BA7072,22:15:00,MAD,SHORT,1,5,20
BA1692,17:02:00,ZRH,SHORT,1,5,20
BA2022,15:01:00,BCN,SHORT,1,5,20
BA9033,21:25:00,AMS,SHORT,1,5,20
BA9419,15:14:00,CDG,SHORT,1,5,20
BA4431,18:55:00,FRA,SHORT,1,5,20
BA9217,07:56:00,FRA,SHORT,1,5,20
BA7953,10:26:00,MAD,SHORT,1,5,20
BA9288,19:56:00,VIE,SHORT,1,5,20
BA4450,20:34:00,IST,SHORT,1,5,20
BA7821,17:08:00,CDG,SHORT,1,5,20
BA3579,19:19:00,DXB,LONG,5,15,30
BA3718,07:47:00,LAX,LONG,5,15,30
BA2841,10:34:00,JFK,LONG,5,15,30
BA5808,15:01:00,MAD,SHORT,1,5,20
BA4075,15:38:00,DXB,LONG,5,15,30
BA2182,22:26:00,CDG,SHORT,1,5,20
BA6882,14:27:00,MAD,SHORT,1,5,20
BA3715,21:55:00,VIE,SHORT,1,5,20
BA1140,19:22:00,ORD,LONG,5,15,30
BA7722,06:40:00,VIE,SHORT,1,5,20
BA3563,07:15:00,CDG,SHORT,1,5,20
BA2962,15:26:00,DFW,LONG,5,15,30
BA7195,06:00:00,ORD,LONG,5,15,30
BA9765,13:33:00,MUC,SHORT,1,5,20
BA5572,19:44:00,JFK,LONG,5,15,30
BA2681,17:31:00,BCN,SHORT,1,5,20
BA2924,18:44:00,CDG,SHORT,1,5,20
BA6932,09:03:00,JFK,LONG,5,15,30
BA6099,21:33:00,IST,SHORT,1,5,20
BA9350,10:39:00,ORD,LONG,5,15,30
BA1077,07:30:00,MAD,SHORT,1,5,20
BA9693,08:46:00,MUC,SHORT,1,5,20
BA5405,17:58:00,FRA,SHORT,1,5,20
BA7793,10:01:00,IST,SHORT,1,5,20
BA6748,11:21:00,LAX,LONG,5,15,30
BA5360,11:59:00,BCN,SHORT,1,5,20
BA4327,06:17:00,HND,LONG,5,15,30
BA7477,09:31:00,MAD,SHORT,1,5,20
BA1261,08:02:00,DFW,LONG,5,15,30
BA7379,14:29:00,DXB,LONG,5,15,30
BA8446,10:29:00,DFW,LONG,5,15,30
BA9777,16:05:00,ORD,LONG,5,15,30
BA3810,15:17:00,DXB,LONG,5,15,30
BA1260,15:05:00,HND,LONG,5,15,30
BA7216,06:54:00,AMS,SHORT,1,5,20
BA6134,15:32:00,VIE,SHORT,1,5,20
BA3796,07:50:00,ZRH,SHORT,1,5,20
BA8068,21:11:00,MUC,SHORT,1,5,20
BA9916,09:38:00,DXB,LONG,5,15,30
BA3772,06:57:00,FRA,SHORT,1,5,20
BA8420,18:41:00,DFW,LONG,5,15,30
BA7244,07:42:00,CDG,SHORT,1,5,20
BA6733,13:10:00,ORD,LONG,5,15,30
BA4360,12:46:00,IST,SHORT,1,5,20
BA8343,12:25:00,CDG,SHORT,1,5,20
BA7765,16:52:00,LAX,LONG,5,15,30
BA1697,08:29:00,AMS,SHORT,1,5,20
BA8425,14:51:00,HND,LONG,5,15,30
BA9547,10:55:00,AMS,SHORT,1,5,20
BA1690,12:52:00,CDG,SHORT,1,5,20
BA9665,16:17:00,ZRH,SHORT,1,5,20
BA9543,13:35:00,IST,SHORT,1,5,20
BA5328,15:18:00,LAX,LONG,5,15,30
BA2316,16:02:00,AMS,SHORT,1,5,20
BA2323,07:51:00,ORD,LONG,5,15,30
BA7950,21:02:00,AMS,SHORT,1,5,20
BA9558,22:15:00,FRA,SHORT,1,5,20
BA3566,08:48:00,HND,LONG,5,15,30
BA6502,20:17:00,BCN,SHORT,1,5,20
BA5515,12:51:00,ZRH,SHORT,1,5,20
BA3397,20:55:00,JFK,LONG,5,15,30
BA4415,06:38:00,DFW,LONG,5,15,30
BA6202,06:06:00,ORD,LONG,5,15,30
BA1660,12:52:00,MUC,SHORT,1,5,20
BA3558,14:42:00,MUC,SHORT,1,5,20
BA4017,13:07:00,MAD,SHORT,1,5,20
BA7661,22:59:00,MAD,SHORT,1,5,20
BA3713,17:32:00,IST,SHORT,1,5,20
BA2601,11:33:00,MUC,SHORT,1,5,20
BA1712,16:32:00,DXB,LONG,5,15,30
BA9613,06:36:00,CDG,SHORT,1,5,20
BA4304,06:33:00,ORD,LONG,5,15,30
BA5528,20:38:00,ORD,LONG,5,15,30
BA7534,14:58:00,CDG,SHORT,1,5,20
BA6141,15:20:00,DFW,LONG,5,15,30
BA9982,15:02:00,DFW,LONG,5,15,30
BA5156,09:34:00,HND,LONG,5,15,30
BA9044,21:24:00,JFK,LONG,5,15,30
BA5703,15:39:00,LAX,LONG,5,15,30
BA6180,09:41:00,DFW,LONG,5,15,30
BA4802,10:54:00,MAD,SHORT,1,5,20
BA4113,12:25:00,BCN,SHORT,1,5,20
BA8615,13:34:00,LAX,LONG,5,15,30
BA7600,06:22:00,DXB,LONG,5,15,30
BA6033,17:53:00,MUC,SHORT,1,5,20
BA1589,09:30:00,FRA,SHORT,1,5,20
BA1123,10:52:00,VIE,SHORT,1,5,20
BA1261,16:55:00,MUC,SHORT,1,5,20
BA5149,17:05:00,MAD,SHORT,1,5,20
BA5411,22:48:00,ORD,LONG,5,15,30
BA7543,07:13:00,ZRH,SHORT,1,5,20
BA6751,09:32:00,ZRH,SHORT,1,5,20
BA7919,18:35:00,CDG,SHORT,1,5,20
BA7516,08:24:00,IST,SHORT,1,5,20
BA1783,20:05:00,BCN,SHORT,1,5,20
BA9262,21:52:00,VIE,SHORT,1,5,20
BA9618,22:56:00,LAX,LONG,5,15,30
BA6803,13:52:00,MAD,SHORT,1,5,20
BA2640,08:29:00,VIE,SHORT,1,5,20
BA6629,09:01:00,DXB,LONG,5,15,30
BA9301,15:28:00,IST,SHORT,1,5,20
BA6943,11:47:00,IST,SHORT,1,5,20
BA6510,18:38:00,CDG,SHORT,1,5,20
BA4195,07:07:00,JFK,LONG,5,15,30
BA4166,14:31:00,FRA,SHORT,1,5,20
BA7038,08:51:00,MAD,SHORT,1,5,20
BA3830,20:33:00,CDG,SHORT,1,5,20
BA6943,11:03:00,LAX,LONG,5,15,30
BA3131,09:49:00,DXB,LONG,5,15,30
BA2219,18:55:00,DXB,LONG,5,15,30
BA2258,10:33:00,DXB,LONG,5,15,30
BA2970,21:14:00,DFW,LONG,5,15,30
BA2511,17:53:00,DXB,LONG,5,15,30
BA7637,22:34:00,HND,LONG,5,15,30
BA5611,17:02:00,ORD,LONG,5,15,30
BA6247,09:19:00,VIE,SHORT,1,5,20
BA8372,19:28:00,FRA,SHORT,1,5,20
BA6264,15:42:00,HND,LONG,5,15,30
BA8393,09:49:00,ORD,LONG,5,15,30
BA7006,08:45:00,AMS,SHORT,1,5,20
BA3274,17:08:00,IST,SHORT,1,5,20
BA5573,14:33:00,AMS,SHORT,1,5,20
BA1982,20:08:00,DFW,LONG,5,15,30
BA7060,18:04:00,DFW,LONG,5,15,30
